Roll_No,GTE ,RCS,SUR_II,SA,WRE_I,CT,SUR LAB_II,GTE_LAB,SGPA
A0101,C,C,A,C,B,A,A+,A,6.3
A0102,P,C,P,F,F,P,A+,A,3.71
A0103,A+,A,A+,A,O,O,O,A+,8.96
A0104,A+,A+,O,A+,O,O,O,O,9.26
A0105,C,P,B+,C,P,C,A+,A+,5.7
A0106,A+,A,O,A,A+,A,A+,A+,7.19
A0107,O,A+,A+,A+,A+,O,A+,A+,7.46
A0108,A+,A+,A+,A+,O,O,O,A+,9.22
A0109,P,A,B,B,F,B+,A,A+,5.19
A0110,O,O,O,A+,O,O,O,O,9.37
A0111,B,B+,O,B+,C,A,A,A+,7.37
A0112,B,C,B+,B,B+,A,O,A+,7.04
A0113,A+,A+,O,A+,O,O,A+,O,9.33
A0114,C,B+,B,F,B,P,A+,A+,6.19
A0115,A,A+,A+,A,O,O,O,O,9.15
A0116,F,F,F,F,F,F,A+,A+,1.5
A0117,F,F,C,P,F,C,A,A+,3.54
A0118,B+,C,A,B+,A,A,A+,O,7.19
A0119,A+,B,A+,A+,O,A,O,O,8.78
A0120,A+,A+,A+,A+,A+,A+,O,A+,9.07
A0121,A+,A+,O,O,O,A+,O,O,9.63
A0123,F,F,C,P,P,C,A,A+,4.04
A0124,A,B,A+,A+,A+,A,O,O,8.56
A0125,F,P,A,F,C,C,A+,A+,4.46
A0126,B,C,A,B,A,B,O,O,7.04
A0127,C,B+,A+,P,C,B+,A+,A,6.5
A0128,A+,B+,O,A,O,O,O,A+,8.96
A0129,A,A,O,A,O,O,O,A,8.89
A0130,F,F,B,P,B,B,A,A+,4.58
A0131,F,C,B+,F,P,B,B+,A,4.25
A0132,A+,O,O,O,A+,A+,O,O,9.63
A0133,P,C,B,F,F,P,A,A+,3.96
A0134,B+,B+,B,P,B,A+,A,A,6.78
A0135,F,P,P,F,F,F,A,A+,2.42
A0136,O,O,O,O,O,O,O,A+,8.85
A0137,C,C,A+,B,F,B,A+,A+,6
A0138,O,O,O,O,O,O,O,A+,8.85
A0139,C,P,B+,F,C,B+,A,A+,5.21
A0140,B+,B+,B+,B+,P,B+,A,O,6.96
A0141,C,P,B,B,C,C,A,F,5
A0142,A,A,O,A+,A+,A+,O,O,8.7
A0143,A,A,O,A,A,A+,A+,O,8.7
A0144,O,A+,O,A,O,O,O,A+,8.09
A0145,A+,B,O,A,A+,O,A+,A+,8.67
A0146,F,F,A,F,P,B+,A,O,4.17
A0147,F,F,P,F,P,P,A,A,3
A0148,B+,B,A,C,A,A,O,A+,7.44
A0149,O,A+,O,A+,A+,A+,A,A+,9.15
A0150,A+,A+,O,A,O,O,A+,O,9.3
A0151,F,C,B+,F,C,P,A+,A,4.21
A0152,A,B,O,A+,O,A+,O,O,8.81
A0153,C,B+,B+,P,P,C,A,A+,5.59
A0154,A+,A+,A+,A,B+,A+,O,A,8.63
A0155,B+,B+,O,A+,A,A+,A+,A+,8.56
A0157,A+,A+,O,A,A+,A+,A,O,9.07
A0158,F,P,P,F,P,F,A,A+,2.92
A0160,C,A,A+,B,A,A,O,O,7.78
A0163,P,P,C,C,B,F,A,A+,4.63
A0164,C,C,C,P,B+,A+,A+,O,6.5
A0166,A,A+,A+,A,A+,O,O,A+,8.63
A0167,B+,A,A+,B+,B+,O,A+,A+,8.19
A0168,A+,O,O,A,O,O,O,O,9.37
A0169,A,P,A+,A,A,A+,A+,O,8.02
A0170,O,O,O,O,O,O,O,O,9.89
A0171,P,C,A+,P,C,A,A,A+,6.29
A0172,P,C,B,C,C,B+,A+,A+,6
A0173,C,C,A,P,C,B+,A,A,6.04
A0174,A+,A+,A+,A+,A+,A+,A+,O,8.96
A0175,B+,B+,B,B,B,A,O,O,7.22
A0176,F,F,P,F,P,B,A,A+,3.42
A0177,P,P,C,F,C,B+,A,A+,4.83
A0178,A,P,A+,B,A+,B,A+,A+,7.33
A0179,A+,A+,O,A,A+,O,O,O,9.15
A0180,A,A,O,A,B+,O,O,O,8.7
A0181,A,A+,O,B+,B,A,O,O,8.26
A0182,B,B,O,C,O,A+,O,A+,7.93
A0183,A+,A+,O,A+,A+,O,O,O,9.3
A0184,B,A,O,A,A+,O,O,O,8.81
A0185,B+,B+,A+,B+,B,O,A+,A+,7.96
A0186,A+,B+,A,B+,A+,A+,O,O,8.63
A0187,A+,A,O,A+,O,O,A+,O,8.06
A0188,B+,A,A+,C,A,A,O,O,7.85
A0189,A,B+,A+,B+,A,O,O,O,8.56
A0190,A,B+,A+,B,A+,A+,O,O,7.57
A0191,B,B+,A,B,A,A,A+,O,7.48
A0192,A+,A,O,A,A+,A+,O,O,8.89
A0193,B+,B,A,F,P,A,A,O,6.07
A0194,A,A,O,B+,A,A+,O,O,8.41
A0195,F,F,C,F,F,P,A+,A,2.71
A0196,F,F,B,F,P,P,O,O,3.58
A0197,F,F,F,F,F,F,F,F,0
A0198,P,B,A,P,B+,B,O,O,5.65
A0199,O,A+,O,O,O,O,O,O,9.78
A01A0,A+,A,O,A,A+,A+,O,O,9
A01A1,A+,A,O,B+,A+,A+,A+,O,8.89
A01A2,C,B,A,P,B+,A,A+,O,3.04
A01A3,F,C,C,F,C,B,A+,A+,4.38
A01A4,P,B,A,B,A,B+,A+,A+,7.15
A01A5,F,P,P,F,C,C,A+,A,3.88
A01A6,A+,A,O,A+,O,A+,O,O,9.15
A01A7,O,O,O,A+,O,O,O,O,9.63
A01A8,O,A+,O,O,O,O,O,O,9.78
A01A9,A,O,O,A,O,A+,O,O,8.89
A01B0,P,F,B,C,B+,B+,O,O,5.79
A01B1,A,C,B+,B,A,A+,A+,A+,7.56
A01B2,F,P,C,F,C,C,A+,A+,4.08
A01B3,B+,B,A,C,B+,A+,A+,A+,7.33
A01B4,C,P,C,P,C,A,A+,A,5.59
A01B5,C,C,B,F,B,A,O,A+,5.67
A01B7,P,B+,A,F,C,C,A+,A,5.25
A01B8,F,P,C,F,F,C,O,A+,3.54
A01B9,F,P,A,P,A,B+,A+,A+,5.83
A01C0,B+,B+,O,A,B,O,O,A+,7.59
B0101,C,A,O,B,A,B,A+,A+,7.33
B0102,O,O,O,A,A+,O,O,A+,9.41
B0103,B,C,A,C,A,A+,A+,A+,7.3
B0104,B+,A+,O,A,B+,A,O,A+,8.33
B0105,A+,O,O,A+,A+,O,O,O,9.41
B0106,P,F,B+,P,C,B+,A+,A+,4.74
B0107,A+,A+,O,A+,A,A+,O,A+,9.07
B0108,A+,A+,O,A+,A+,A+,O,O,9.26
B0109,A,A+,O,B+,A+,O,O,O,8.89
B0110,C,B+,O,P,B+,A+,A+,A+,7.04
B0111,A+,O,O,A+,O,O,A+,A+,9.37
B0112,B,A,A+,B,A,A,O,A+,7.48
B0113,A+,O,O,O,O,O,O,A+,9.7
B0114,O,O,O,A,O,O,O,O,9.59
B0115,A+,O,O,A+,O,O,O,O,9.63
B0116,O,O,O,A+,O,O,O,O,9.74
B0117,B+,B+,A,B,A+,A+,O,O,8.04
B0118,B,A,A,C,A,A+,A+,A+,7.63
B0119,A+,O,O,A+,O,O,O,O,9.63
B0120,B,A+,A+,A,O,A+,O,O,8.67
B0121,A,O,O,A,A+,O,O,O,9.04
B0122,A,A+,A+,A,A+,O,O,O,9.04
B0123,A+,O,A+,A+,O,O,O,O,9.3
B0124,A+,O,O,A+,O,O,O,O,9.63
